SaleID,CustomerID,WineDesignation,Quantity,SaleAmount,SaleDate
1,2370,Master Selection Reserve,1,468.7,2024-03-04
2,2819,Family Estate,2,521.28,2023-12-17
3,4579,Les Damaudes,2,366.36,2023-08-20
4,4190,WillowBend Shiraz-Cabernet Sauvignon-Merlot,2,408.1,2024-05-06
5,2935,Icon Wine Selection,3,666.01,2024-05-15
6,634,Old Vine Selection,3,531.16,2024-01-11
7,3383,Barrel Selection Selection,3,400.15,2023-01-12
8,3010,Heritage Collection Cuvée,2,447.87,2023-01-06
9,615,Cellar Reserve Reserve,4,390.54,2023-06-22
10,1109,Premium Blend Selection,5,642.17,2023-01-13
11,966,Premium Blend Cuvée,4,282.93,2023-08-05
12,1208,Ringer,1,465.63,2023-10-12
13,2808,Special Cuvée Estate,3,454.04,2024-01-01
14,3249,Barrel Selection Cuvée,1,603.76,2022-12-12
15,1644,Poggio al Granchio Riserva,2,383.41,2023-09-11
16,250,Limited Edition Reserve,2,593.63,2022-09-24
17,323,Signature Series Selection,3,571.72,2022-10-18
18,3915,Estate Reserve,3,532.79,2023-04-26
19,3016,Château Selection Selection,3,315.91,2023-12-26
20,1661,Special Cuvée Estate,1,436.54,2023-12-06
21,3061,Special Cuvée Selection,5,471.27,2023-05-18
22,2019,Full Moon Red Wine,3,379.1,2023-06-14
23,4240,Grand Cru Estate,3,398.3,2023-11-04
24,4501,Gypsy,2,314.32,2022-12-28
25,2092,Prestige Collection Estate,5,401.98,2024-01-15
26,2267,Premium Blend Reserve,2,604.44,2024-05-15
27,267,6 meses en barrica,4,384.11,2023-06-07
28,3698,Special Cuvée,3,401.14,2023-07-09
29,1255,Noble Reserve Reserve,1,430.36,2023-06-01
30,799,Teranum,2,302.75,2024-04-10
31,4933,Vintage Collection Cuvée,1,473.98,2022-09-16
32,681,Bien Nacido Vineyard Reserve,1,370.99,2024-04-16
33,3226,Private Reserve Selection,5,460.13,2024-01-22
34,282,Reserve Selection Cuvée,2,574.37,2024-01-24
35,4757,Noble Reserve Cuvée,2,704.23,2022-07-08
36,1770,Founders Reserve Reserve,2,514.62,2023-10-03
37,1827,Estate Reserve Selection,2,443.79,2024-02-03
38,385,Barrel Selection Estate,5,437.83,2023-06-10
39,3581,Grand Reserve Estate,3,465.13,2023-08-02
40,1163,Signature Series Cuvée,3,419.57,2023-06-09
41,2851,Artisan Series Reserve,4,494.91,2023-08-06
42,259,Founders Reserve Reserve,5,458.76,2022-09-10
43,2345,Vintage Collection Estate,5,517.03,2022-11-09
44,2030,Morehouse Vineyard,3,422.91,2023-06-21
45,3557,Private Reserve,2,515.61,2022-09-22
46,3627,Grand Reserve Estate,2,521.56,2022-12-28
47,3138,Special Cuvée Estate,5,378.24,2023-01-29
48,2930,Artisan Series,2,420.7,2023-05-26
49,1551,Special Cuvée,3,429.39,2024-05-02
50,1978,Founders Reserve Selection,4,389.24,2022-09-07
51,29,Prestige Collection Selection,3,565.63,2023-05-09
52,974,Cuvée Aurora Rosé,5,372.65,2023-07-12
53,4899,Heritage Collection Selection,5,501.31,2023-05-13
54,2972,Special Cuvée Selection,4,589.62,2023-04-02
55,3109,Premium Blend Cuvée,1,552.51,2024-02-10
56,1292,Noble Reserve Selection,5,554.9,2023-11-21
57,3412,Estate Reserve Estate,4,508.06,2023-02-24
58,1671,Family Estate Reserve,4,462.2,2024-05-03
