WineID,WineDesignation,Category,CountryOfOrigin,Region,GrapeVariety,Year,AlcoholPercentage,BottleSize,PriceRange
1,Les Forts de Latour Barrel sample,Rosé,Italy,Veneto,Chardonnay,2014,14.6,1L,Low
2,La Vallée des Vignes,Rosé,Chile,Casablanca Valley,Fetească Neagră,2005,11.9,1.5L,Low
3,Belcore,Rosé,Chile,Maipo Valley,Pinot Noir,2013,15.0,1.5L,High
4,Limited Edition Cuvée,Sparkling,Brazil,Serra Gaúcha,Pinot Noir,2015,13.6,1L,Premium
5,Château Selection Cuvée,Dessert,Greece,Crete,Tempranillo,2005,11.2,0.75L,Premium
6,Master Selection Reserve,Dessert,South Africa,Constantia,Malbec,2021,14.4,1L,High
7,Single Vineyard Cuvée,White,South Africa,Swartland,Fetească Neagră,2000,14.0,1L,High
8,Old Vine Selection,Dessert,Greece,Nemea,Riesling,2013,15.1,1L,Medium
9,Connoisseur Collection,Rosé,Italy,Piedmont,Merlot,2018,11.4,1L,High
10,Old Vine Estate,Dessert,Hungary,Szekszárd,Tempranillo,2015,12.4,1.5L,Low
11,Lot 194,Dessert,USA,Napa Valley,Chardonnay,2002,14.6,1L,Low
12,Icon Wine Cuvée,Sparkling,South Africa,Swartland,Cabernet Sauvignon,2021,12.2,1L,Premium
13,Château Selection Cuvée,Red,South Africa,Stellenbosch,Merlot,2008,12.5,1L,High
14,Vintage Collection Cuvée,Sparkling,Uruguay,Canelones,Fetească Neagră,2005,13.3,1L,Medium
15,Château Selection Selection,Sparkling,South Africa,Swartland,Chardonnay,2019,13.5,1.5L,Premium
16,Reserve Selection Cuvée,Sparkling,South Africa,Constantia,Cabernet Sauvignon,2022,15.2,0.75L,Premium
17,Botella,Rosé,Australia,Barossa Valley,Sauvignon Blanc,2016,11.6,1.5L,Medium
18,Blanc de Mer,Sparkling,Chile,Casablanca Valley,Fetească Neagră,2007,12.4,1L,Low
19,Classic Reserve Cuvée,White,New Zealand,Central Otago,Pinot Noir,2001,15.1,1L,Medium
20,Campo di Marzo Riserva,White,USA,Napa Valley,Chardonnay,2007,12.6,0.75L,Medium
21,Reserve Selection Estate,Red,New Zealand,Central Otago,Chardonnay,2002,11.4,1.5L,High
22,Signature Series Reserve,Sparkling,Hungary,Eger,Fetească Neagră,2021,14.9,1L,Premium
23,ClaudeVal,Dessert,Portugal,Douro,Riesling,2010,11.3,0.75L,Low
24,Grand Cru Selection,Dessert,Uruguay,Canelones,Tempranillo,2012,11.3,1.5L,Premium
25,Awesome Rosé,Sparkling,Germany,Mosel,Cabernet Sauvignon,2020,11.7,0.75L,Premium
26,Ramnista,White,Portugal,Alentejo,Syrah,2017,11.1,1L,High
27,Single Vineyard Cuvée,Dessert,South Africa,Paarl,Merlot,2011,11.7,1L,Low
28,Barrel Selection Estate,Red,Uruguay,Montevideo,Syrah,2023,13.6,0.75L,Medium
29,Solamini et Amicis Passito,Rosé,Portugal,Douro,Pinot Noir,2020,13.3,1L,High
30,Inspiration Reserve Red,White,Australia,Barossa Valley,Pinot Noir,2002,15.0,1.5L,Low
31,Master Selection Estate,Dessert,Canada,Niagara Peninsula,Riesling,2009,12.2,1.5L,High
32,Vintage Collection Selection,Rosé,New Zealand,Waipara,Fetească Neagră,2023,15.1,1.5L,Premium
33,Grand Reserve Cuvée,Dessert,Austria,Kamptal,Pinot Noir,2000,12.4,0.75L,Medium
34,Icon,Red,Argentina,Mendoza,Tempranillo,2002,11.3,1.5L,Low
35,Colección 125 Reserva,Dessert,Australia,Hunter Valley,Syrah,2023,11.3,1L,High
36,Private Reserve Estate,Dessert,Uruguay,Montevideo,Riesling,2011,15.0,1.5L,Medium
37,Carmenere,Red,Germany,Mosel,Cabernet Sauvignon,2013,14.0,0.75L,High
38,Master Selection,Dessert,Bulgaria,Thracian Valley,Merlot,2023,13.2,1.5L,Premium
39,Nobles Rives,Red,Portugal,Douro,Cabernet Sauvignon,2012,15.4,1.5L,High
40,Cellar Reserve Estate,Dessert,South Africa,Paarl,Pinot Noir,2019,11.3,1L,High
41,Barrel Selection Estate,White,Canada,Niagara Peninsula,Fetească Neagră,2013,13.2,0.75L,Premium
42,Icon Wine Reserve,Sparkling,Croatia,Dalmatia,Fetească Neagră,2015,12.8,1L,Premium
